pdf_page,display_page,text_lines,n_words,text_extent_pct,density_pct,n_tables_on_page,n_table_rows_est,n_figures_on_page,top_text_line,status
357,283,41,249,92,24,1,0,0,Box / violin plot per Per-feature distribution comparison; useful for outlier in,ok
358,284,41,227,93,23,1,0,0,GAF (Gramian,ok
359,285,52,214,94,26,0,0,0,Step 5 Preprocessing mne.filter (bandpass / notch); mne.preprocessing.ICA; ICLab,ok
360,286,49,229,94,23,1,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
361,287,41,238,92,23,1,0,0,Step 17 Explainable Per-prediction SHAP; saliency map; channel + frequency impor,ok
362,288,49,256,94,25,0,0,0,Step 5 Preprocessing Auditability: per-step transformation log; non-destructive ,ok
363,289,55,266,96,24,1,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
364,290,42,254,92,22,1,0,0,Step 20 RAG,ok
365,291,48,279,95,25,0,0,0,Step 9 EEG ->,ok
366,292,47,270,95,28,1,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
367,293,38,279,90,25,1,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
368,294,45,270,93,27,1,0,0,Table 3.49. Benchmarking Comparison — This Work vs Published Baselines.,ok
369,295,59,257,96,28,1,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
370,296,44,200,94,20,1,0,0,Kaplan-Meier,ok
371,297,36,196,83,19,0,0,0,Device-effect,ok
372,298,51,189,94,22,1,0,0,Table 3.52. Subjective Analysis List — Qualitative + Stakeholder-Perception,ok
373,299,52,272,93,29,1,0,0,Member-checking,ok
374,300,43,246,93,24,1,0,0,Reproducibility,ok
375,301,34,214,88,21,1,0,0,Step 9: Cross-,ok
376,302,53,292,91,29,0,0,0,AS-IS Step 3:,ok
377,303,46,258,96,24,1,0,0,Note. AS-IS process documented from interviews with developmental pediatricians ,ok
378,304,49,220,88,21,0,0,0,Challenge 9:,ok
379,305,55,271,92,26,1,0,0,Table 3.57. TO-BE Process — Emotiv EEG + IoT Gateway + Cloud AI Workflow.,ok
380,306,22,142,45,14,0,0,0,TO-BE End-to-end,ok
381,307,43,287,94,27,1,0,0,"Secondary Data — Dedicated Architecture, AS-IS, TO-BE, Sample,",ok
382,308,48,214,93,22,1,0,0,Step 7: Conversion,ok
383,309,39,230,89,23,0,0,0,Inconsistent,ok
384,310,133,242,94,22,2,0,0,Table 3.60. Secondary Data Sample — 10 KAU-Style Records (Feature Vectors).,ok
385,311,59,216,82,19,0,0,0,3. Metadata,ok
386,312,72,229,95,22,1,0,0,Table 3.62. Secondary Data Journey Lifecycle — Discovery to Sunset.,ok
387,313,67,235,95,22,3,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
388,314,47,236,92,24,1,0,0,EfficientNet-B0 0.95 (0.92–0.98),ok
389,315,35,245,92,22,1,0,0,Cross-cutting: bias,ok
390,316,50,232,94,22,1,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
391,317,42,269,94,25,1,0,0,17. Statistical,ok
392,318,42,247,94,24,1,0,0,Cloud governance + Per-request request_id through every step; drift / bias / PII,ok
393,319,59,171,93,18,1,0,0,5. Per-experiment,ok
394,320,87,147,93,14,0,0,0,F8,ok
395,321,57,187,94,17,1,0,0,A2,ok
396,322,74,179,90,19,0,0,0,Fusiform gyrus Face processing (FFA),ok
397,323,77,224,94,21,1,0,0,"This table lists each band across frequency (hz), wavelength, healthy typical, a",ok
398,324,76,242,93,22,1,0,0,Spectral,ok
399,325,75,275,94,26,1,0,0,Borderline,ok
400,326,60,219,85,23,0,0,0,Family,ok
401,327,95,129,91,12,1,0,0,Table 3.75. Secondary Data Phase Card Flow — Per-Phase Card.,ok
402,328,92,152,94,14,0,0,0,11 Select,ok
403,329,110,267,95,23,1,0,0,Note. Card flow is the operator-facing summary; each card answers what is the si,ok
404,330,184,254,95,23,0,0,0,7 Feature,ok
405,331,78,212,78,17,0,0,0,17 Deliver Signed,ok
406,332,171,228,94,21,1,0,0,Table 3.77. AI Dimensions Per Phase — XAI / RAI / Ethical / Governance / Trust /,ok
407,333,190,239,90,22,0,0,0,8,ok
408,334,124,255,94,23,0,0,0,16 HITL Decision,ok
409,335,108,238,95,22,1,0,0,"This table lists each phase across monitoring ai kpi, score ai kpi, quality ai k",ok
410,336,70,145,71,15,0,0,0,13 RAG- Indexing,ok
411,337,46,238,91,20,1,0,0,ISO 42001 + Healthcare ISO + Library + Threshold — Per-Phase Deep,ok
412,338,115,219,95,26,0,0,0,3 QC,ok
413,339,98,221,85,22,0,0,0,13 RAG-,ok
414,340,106,292,93,24,1,0,0,"Per-Phase Input + Process +. This table lists each phase across input, process, ",ok
415,341,144,267,91,22,0,0,0,9 Train,ok
416,342,71,254,94,22,1,0,0,Note. Each phase has IPO + benchmark + threshold contract documented; the thresh,ok
417,343,106,224,95,22,0,0,0,7 Feature,ok
418,344,57,176,66,17,0,0,0,17 Deliver,ok
419,345,14,165,53,14,0,0,0,ISO 42001 + IEC 62304 + ISO 13485 — Audit-Evidence Collection Runbook,ok
420,346,95,190,82,18,1,0,0,Table 3.82. ISO 42001 + IEC 62304 + ISO 13485 + ISO 14971 + ISO 27001 AuditEvide,ok
421,347,130,239,94,23,0,0,0,ISO 42001 §8.3 Data,ok
422,348,126,246,94,23,0,0,0,IEC 62304 §5.7,ok
423,349,128,249,94,22,0,0,0,ISO 27001 A.6,ok
424,350,69,230,82,21,0,0,0,EU AI Act Art. 86,ok
425,351,38,242,93,22,1,0,0,Primary Data — Brutal Feedback Gap Closure,ok
426,352,48,215,93,20,1,0,0,8. Mediation +,ok
427,353,46,188,92,19,0,0,0,3. PD-5,ok
428,354,53,260,94,26,1,0,0,Primary Data Database Design —. This table lists each aspect with its specificat,ok
429,355,45,252,94,27,1,0,0,Indexes,ok
430,356,54,273,93,25,1,0,0,Entity: Feature,ok
431,357,63,210,93,20,1,0,0,H3,ok
432,358,47,234,93,23,0,0,0,3. Time-on-survey,ok
433,359,49,261,95,25,1,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
434,360,48,210,88,23,1,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
435,361,45,261,94,26,1,0,0,Note.,ok
436,362,42,227,92,24,1,0,0,Documentation per,ok
437,363,44,256,92,26,1,0,0,Experience bias,ok
438,364,43,233,91,24,0,0,0,Site imbalance,ok
439,365,49,233,95,26,1,0,0,Table 3.94. Semi-Structured Data Handling — PD-2 Open-Ended + Clinical Notes.,ok
440,366,92,264,96,22,1,0,0,"1D / 2D Conversion Detail. This table lists each phase across source dim, conver",ok
441,367,75,187,79,16,0,0,0,SD-A,ok
442,368,51,250,95,23,1,0,0,"Advanced Architecture — Pipelines, Vector / Graph DB, RAG Sub-Phases,",ok
443,369,77,236,92,20,0,0,0,Vector DB,ok
444,370,46,268,95,27,2,0,0,Table 3.97. Vector DB (Qdrant) — Configuration + Schema.,ok
445,371,41,195,88,22,0,0,0,Node label: Author,ok
446,372,43,252,87,21,1,0,0,Table 3.99. Cron Jobs + LLM Model Registry + Cache DB.,ok
447,373,78,281,95,27,1,0,0,"PII + Index + Pre-Retrieval. This table lists each technique across purpose, imp",ok
448,374,56,233,93,22,1,0,0,Hybrid,ok
449,375,42,261,94,24,1,0,0,Hallucination flag,ok
450,376,47,236,89,22,0,0,0,Per-subgroup,ok
451,377,110,227,95,15,1,0,0,"RGAIG Framework Mapping. This table lists each phase across l1 capture, l2 cloud",ok
452,378,112,204,93,14,0,0,0,10 Validate,ok
453,379,130,278,96,21,1,0,0,"This table lists each phase across specific, measurable, achievable, and 2 more ",ok
454,380,80,256,90,20,1,0,0,16 HITL,ok
455,381,94,239,91,22,1,0,0,9 Train,ok
456,382,60,165,94,18,0,0,0,Clinical,ok
457,383,57,262,94,31,1,0,0,"This table lists each aspect with its specification, so examiners can trace what",ok
458,384,48,281,94,24,1,0,0,Note. Per-survey + per-report save policy enforced via DB trigger; per-write aud,ok
459,385,21,111,35,10,0,0,0,Stage 11: Report,ok
460,386,53,190,94,16,1,0,0,Cross-Reference Index — All New Dedicated-Page Tables,ok
461,387,70,106,92,9,0,0,0,tab:pipeline_,ok
462,388,76,119,92,9,0,0,0,tab:pipeline_,ok
463,389,84,113,93,11,0,0,0,tab:pipeline_,ok
464,390,63,91,89,9,0,0,0,tab:tools_,ok
465,391,71,100,92,9,0,0,0,tab:monte_,ok
466,392,76,103,92,9,0,0,0,tab:sec_,ok
467,393,59,77,87,6,0,0,0,tab:severity_,ok
468,394,76,110,92,9,0,0,0,tab:per_,ok
469,395,74,98,92,8,0,0,0,tab:brutal_,ok
470,396,69,113,93,10,0,0,0,tab:pii_,ok
471,397,50,330,93,26,1,0,0,Thematic Cross-Reference Matrix — Related Tables Grouped by Topic,ok
472,398,5,59,18,6,0,0,0,18. Database schema + reporting,sparse
473,399,15,147,53,13,0,0,0,Examiner Q&A — Anticipated Questions on the Architecture Expansion,ok
474,400,38,262,86,23,1,0,0,Table 3.111. Examiner Q&A on the Ch. 3 Architecture Expansion — 12 Anticipated,ok
475,401,44,308,94,26,0,0,0,Q5,ok
476,402,31,216,70,20,1,0,0,Q10,ok
477,403,11,120,39,11,0,0,0,Defence Preparation Checklist — Architecture Expansion Readiness,ok
478,404,97,297,92,22,1,0,0,Table 3.112. Defence Preparation Checklist — 25-Item Architecture Expansion,ok
479,405,22,96,37,8,0,0,0,22,ok
480,406,9,129,43,12,0,0,0,Companion Deliverables — Separate-Compilation Artefacts,ok
481,407,46,176,90,17,1,0,0,Table 3.113. Companion Deliverables — 3 Separate-Compilation-Target Artefacts.,ok
482,408,14,94,38,10,0,0,0,Companion artefact,ok
483,409,13,132,46,11,0,0,0,Per-Microservice IPO Contract — 7-Service Reference,ok
484,410,85,230,81,21,1,0,0,Table 3.114. Per-Microservice IPO Contract — Input / Process / Output + SLA +,ok
485,411,65,177,65,17,0,0,0,hitl-svc,ok
486,412,14,132,49,12,0,0,0,Architecture Expansion Per-Iteration Changelog,ok
487,413,64,139,87,13,1,0,0,Table 3.115. Architecture Expansion Per-Iteration Changelog — 2026-05-27 Session,ok
488,414,49,234,93,21,0,0,0,5,ok
489,415,16,202,70,23,0,0,0,"brated trust, adoption readiness, and clinician oversight rather than clinical d",ok
490,416,21,262,89,33,0,0,0,Chapter 3 Defensibility Pack,ok
491,417,46,281,97,30,1,0,0,Table 3.116 justifies the choice of a mixed-methods design by listing the three ,ok
492,418,43,286,89,28,1,0,0,Table 3.117 sampling plan and sample-size justification.,ok
493,419,41,224,78,21,2,0,0,Table 3.118 instrument anchoring.,ok
494,420,51,242,87,25,1,0,0,Table 3.119 governance operationalization.,ok
495,421,34,171,67,17,2,0,0,Table 3.120 bias mitigation matrix.,ok
496,422,27,148,56,14,1,0,0,Table 3.121 pilot study protocol.,ok
497,423,44,182,75,18,1,0,0,Table 3.122 statistical analysis plan.,ok
498,424,47,182,78,20,1,0,0,Table 3.123 construct-to-theory mapping.,ok
499,425,31,184,85,18,1,0,0,Research Design,ok
500,426,14,72,26,8,1,0,0,The table below presents the chapter 3 vs Appendix C: Scope Division.,sparse
501,427,32,216,77,24,2,0,0,Methodological Rigor Charter (DBA Defensibility),ok
502,428,13,137,51,19,0,0,0,Pragmatic Research Philosophy,ok
503,429,10,119,45,16,0,0,0,Why PLS-SEM,ok
504,430,30,146,62,19,1,0,0,Research Philosophy and Approach,ok
505,431,12,130,48,17,0,0,0,Overall Research Framework,ok
506,432,32,149,56,16,2,0,0,Table 3.128 evaluates research Evaluation Structure: Four Interconnected Parts.,ok
507,433,12,116,47,13,0,0,0,Chapter Objective,ok
508,434,14,167,55,22,0,0,0,DBA and Research Significance,ok
509,435,56,237,86,24,1,0,0,Cross-Chapter Alignment (Ch. 3 Role),ok
510,436,27,308,96,38,0,0,0,Research Philosophy and Design Strategy,ok
511,437,65,235,92,28,1,0,0,Research Design Overview,ok
512,438,1,13,5,2,0,0,0,"Table 3.131 presents combined Methodology Flow: Primary Data, Secondary EEG, and",almost_empty
513,439,75,192,89,18,1,0,0,Combined Methodology Flow.,ok
514,440,30,160,67,19,0,0,0,9. Report,ok
515,441,51,318,93,31,0,0,1,QUAL + QUANT,ok
516,442,33,225,55,18,0,0,1,1. Research,ok
517,443,68,291,91,24,1,0,0,Table 3.132. 23-Step ASD EEG → AI → RAG Operational Pipeline — Expanded,ok
518,444,56,264,93,26,0,0,0,9,ok
519,445,48,262,85,24,0,0,0,17,ok
520,446,19,143,50,17,0,0,0,23,ok
521,447,86,197,90,21,1,0,0,Table 3.133 presents the Five-Stage Research Methodology: Gap to Decision Chain.,ok
522,448,38,140,55,16,1,0,0,Five-Stage Methodology Summary.,ok
523,449,1,10,2,1,0,0,0,Table 3.135 thesis-ready master table: research gap to decision use.,almost_empty
524,450,108,175,90,18,1,0,0,Thesis-Ready Master Table.,ok
525,451,69,118,58,13,0,0,0,Weak,ok
526,452,32,122,47,13,0,0,0,Primary Data Methodology — Compliance Page,ok
527,453,52,271,96,23,0,0,0,Must Have (Primary Data),ok
528,454,2,21,5,3,0,0,0,evidence base is the existing 12-expert qualitative panel and 131-clinician PLS-,almost_empty
529,455,34,188,93,24,1,0,0,Separation of Research and Supporting Engineering,ok
530,456,7,63,22,9,0,0,0,Threats to Validity and Mitigation,sparse
531,457,48,232,77,21,1,0,0,Primary Data — Reference Page,ok
532,458,30,207,69,20,1,0,0,Primary process flow (5-stage): Design → Pilot & Validate → Recruit & Collect → ,ok
533,459,25,70,32,7,0,0,0,Secondary Data Methodology — Compliance Page,ok
534,460,48,300,95,23,0,0,0,Must Have (Secondary Data),ok
535,461,9,101,31,9,0,0,0,Secondary Data — Reference Page,ok
536,462,44,116,70,11,1,0,0,Table 3.139. Secondary Data Source Catalog — retrospective public benchmarks +,ok
537,463,9,110,30,10,0,0,0,Secondary process flow (10-stage): Acquire (SD-1) → Ingest (SD-2) → Process & En,ok
538,464,43,161,92,16,1,0,0,Table 3.140. Secondary Data Outcome Map — which SD stage produces which,ok
539,465,26,72,33,7,0,0,0,Hybrid Data Methodology — Compliance Page,ok
540,466,52,297,94,24,0,0,0,Must Have (Hybrid Data — integration,ok
541,467,2,22,5,3,0,0,0,DBA-distinctive contribution: integrating technical AI + human validation + gove,almost_empty
542,468,60,237,89,24,1,0,0,Hybrid Data — Reference Page,ok
543,469,43,277,84,28,1,0,0,Hybrid process flow (6-stage): Pair (Primary ↔ Secondary) → Validate (convergent,ok
544,470,2,18,6,2,0,0,0,Journey Flow Map — Unified Reference Page,almost_empty
545,471,72,248,91,22,1,0,0,Table 3.143. Unified Journey Flow Map — the 12-card end-to-end pipeline from dat,ok
546,472,67,220,96,19,1,0,0,Hypothesis Application Flow — How H1–H10 Get Applied,ok
547,473,26,77,36,8,0,0,0,H8,ok
548,474,21,251,79,27,0,0,0,Pre-registered falsification thresholds (H1–H10). To prevent post-hoc threshold ,ok
549,475,215,307,94,22,1,0,0,Sample Data Page — Primary (Illustrative 𝑛=20),ok
550,476,57,301,84,25,1,0,0,"Primary Data — Raw Input, Computed Output, and Flow",ok
551,477,102,289,91,23,1,0,0,Table 3.147. Primary Data Computed Output — per-construct reliability (Cronbach’,ok
552,478,43,200,70,19,1,0,0,Table 3.148. Primary Data Connecting Flow — five-stage processing from raw CSV,ok
553,479,11,149,50,15,0,0,0,Primary Data — Comprehensive Requirements Inventory (Clinical,ok
554,480,57,240,89,25,1,0,0,Table 3.149. Primary Data — Pediatric ASD Population Specification (Clinical,ok
555,481,6,64,18,8,0,0,0,Note. EEG = Electroencephalography; DSM-5 = Diagnostic and Statistical Manual of,sparse
556,482,58,283,94,27,1,0,0,"Primary Clinical Data Items. This table lists each field name across data type, ",ok
557,483,90,211,93,25,0,0,0,EEG clinician,ok
558,484,15,123,39,15,0,0,0,Consent status,ok
559,485,58,248,91,27,1,0,0,Behavioral Assessment Instruments and Date Fields. This table lists each instrum,ok
560,486,5,61,15,7,0,0,0,Note. Assessment dates are required for ALL instruments (ISO-8601 YYYY-MM-DD) to,sparse
561,487,62,292,96,28,1,0,0,EEG Technical Specifications and Acquisition Protocol Fields. This table lists e,ok
562,488,31,149,64,17,0,0,0,Recording date + time Required (ISO-8601),ok
563,489,61,253,96,27,1,0,0,Primary-Data Inclusion and Exclusion Criteria. This table lists each decision ac,ok
564,490,24,111,40,12,0,0,0,Exclude,ok
565,491,62,265,93,27,1,0,0,Data Governance — Identifiers NOT Required (De-Identification Contract). This,ok
566,492,9,81,27,10,0,0,0,Clinician name (per,sparse
567,493,50,225,94,25,1,0,0,Required Documentation for Primary-Data Access. This table lists each document a,ok
568,494,26,145,65,17,0,0,0,Local Regulatory,ok
569,495,7,85,21,9,0,0,0,Clinical Validation + Operational Workflow Support Requested. This table lists e,sparse
570,496,89,237,92,29,1,0,0,Table 3.156. Primary Data — Clinical Validation and Operational-Workflow Support,ok
571,497,12,76,26,10,0,0,0,Parent / caregiver-,sparse
572,498,6,76,19,5,0,0,0,Primary Data — Analysis Plan Inventory,sparse
573,499,82,241,92,22,1,0,0,Data Quality Analysis.,ok
574,500,2,21,5,2,0,0,0,"record ID, field, threshold, observed value, and resolution action; the audit lo",almost_empty
575,501,82,219,96,19,1,0,0,Descriptive Statistics +.,ok
576,502,8,48,23,6,0,0,0,Site (when,sparse
577,503,72,278,96,27,1,0,0,Pre-Processing Diagnostic Plan (Before / After). This table lists each row acros,ok
578,504,9,63,23,7,0,0,0,12,sparse
579,505,77,244,97,24,1,0,0,Reliability Analysis Plan (per Instrument + per EEG Feature). This table lists e,ok
580,506,28,124,47,11,0,0,0,Test-retest,ok
581,507,73,236,94,23,1,0,0,Convergent + Discriminant. This table lists each validity type across instrument,ok
582,508,39,121,56,13,0,0,0,Discriminant,ok
583,509,69,228,97,24,1,0,0,EEG–Assessment Correlation Matrix. This table lists each eeg feature family acro,ok
584,510,10,64,29,8,0,0,0,Aggregate feature,sparse
585,511,67,279,94,26,1,0,0,Subgroup + Fairness. This table lists each subgroup axis across subgroups compar,ok
586,512,15,87,29,9,0,0,0,Language of,sparse
587,513,61,242,95,23,1,0,0,Missing-Data Pattern + Imputation Strategy Plan. This table lists each stage acr,ok
588,514,30,117,45,13,0,0,0,6. Longitudinal,ok
589,515,76,272,94,25,1,0,0,Longitudinal + Trajectory.,ok
590,516,2,23,5,3,0,0,0,≥ 2 visits; the multi-visit-subset size is reported per cohort. Linear mixed-eff,almost_empty
591,517,85,290,95,30,1,0,0,"Sensitivity + Bias. This table lists each sensitivity check across method, accep",ok
592,518,2,49,12,6,0,0,0,Note. SQI = Signal Quality Index; MICE = Multivariate Imputation by Chained Equa,almost_empty
593,519,65,296,95,27,1,0,0,Statistical Analysis Plan. This table lists each h# across hypothesis (paraphras,ok
594,520,14,83,26,10,0,0,0,H7,sparse
595,521,64,255,92,25,1,0,0,"Triangulation + Quality. This table lists each evidence type across source, conv",ok
596,522,4,44,12,5,0,0,0,Note. Triangulation across quantitative + qualitative + workflow + cross-cohort ,sparse
597,523,91,215,75,22,0,0,1,Continual improvement (Step 23 → Step 1),ok
598,524,70,223,93,21,0,0,1,AS-IS: 6–18 Month Pathway,ok
599,525,34,100,34,11,0,0,1,5.1 Bandpass,ok
600,526,37,111,51,15,0,0,1,Documents,ok
601,527,36,114,91,12,0,0,1,Draft report,ok
602,528,52,129,52,15,0,0,1,BIDS,ok
603,529,28,75,87,15,0,0,1,Cleaned,ok
604,530,27,75,26,6,0,0,1,SVM (RBF),sparse
605,531,27,81,38,10,0,0,1,Trained,ok
606,532,32,73,57,15,0,0,1,Trained,ok
607,533,29,97,32,9,0,0,1,Doctor PDF,ok
608,534,34,101,45,12,0,0,1,Production,ok
609,535,50,220,30,7,0,0,1,RGAIG Operator Dashboard — Live Production View \| Refreshed: 14:32 UTC \| User: c,ok
610,536,30,88,53,16,0,0,1,REDCap,ok
611,537,40,110,57,21,0,0,1,Panel formation,ok
612,538,40,133,65,24,0,0,1,Concern,ok
613,539,38,134,58,23,0,0,1,Target list,ok
614,540,38,119,60,22,0,0,1,KAU train,ok
615,541,32,107,53,20,0,0,1,Hypotheses,ok
616,542,36,131,56,14,0,0,1,Alert fires,ok
617,543,42,125,69,23,0,0,1,Continuous,ok
618,544,35,123,56,20,0,0,1,Train new,ok
619,545,50,134,50,10,0,0,1,ml-svc,ok
620,546,38,125,48,12,0,0,1,Parquet,ok
621,547,66,162,95,27,0,0,1,Purpose,ok
622,548,59,158,51,16,0,0,1,subject,ok
623,549,23,122,50,11,0,0,1,KAU (Saudi),ok
624,550,22,92,41,8,0,0,1,Power (𝜇𝑉 2 /Hz),ok
625,551,52,283,75,20,0,0,1,RGAIG Clinician Portal \| Case CASE-2026-0847 \| Dr. A. Sharma (Pediatric Neurolog,ok
626,552,63,271,44,15,0,0,1,9:41 ∙ ∙ ∙ ∙ ∙,ok
627,553,31,107,52,10,0,0,1,freq,ok
628,554,51,272,53,14,0,0,1,Drift Monitoring Dashboard — Last 30 Days,ok
629,555,71,333,89,25,0,0,1,request_id: ab91-2026-...-c47f,ok
630,556,96,191,75,19,1,0,0,Table 3.169. Research Anatomy — Gap to Objective to Problem to Sub-Problem to,ok
631,557,162,283,94,26,0,0,0,H3,ok
632,558,17,238,60,23,0,0,0,Note. Survey item references use the section letter (A–K) plus item number (e.g.,ok
633,559,11,153,44,14,0,0,0,Primary Data — IV / DV / RGAIG Layer / SMART-E Pillar per,ok
634,560,74,194,80,20,1,0,0,Table 3.170. Primary-Data Hypotheses — Independent Variable / Dependent,ok
635,561,67,261,92,28,0,0,0,H4,ok
636,562,13,166,46,17,0,0,0,(a) Anatomy (Table 3.169) traces gap → objective → problem → sub-problem → hypot,ok
637,563,6,73,25,7,0,0,0,Cross-Stream Flow — Primary → Hybrid → Final Decision,sparse
638,564,101,256,92,24,1,0,0,Table 3.171. Cross-Stream Flow — Primary Hypothesis to Hybrid Convergence Point,ok
639,565,2,20,5,2,0,0,0,"item feeds a primary hypothesis, which strengthens a hybrid convergence point, w",almost_empty
640,566,15,148,58,20,0,0,0,Common Method Bias Assessment,ok
641,567,13,160,65,22,0,0,0,Methodological Triangulation,ok
642,568,69,290,95,27,1,0,0,Risk Register — Per-Hypothesis Falsification + Mitigation,ok
643,569,5,79,18,8,0,0,0,Note. Falsification thresholds follow Hair et al. (2019) PLS-SEM conventions: \|𝛽,sparse
644,570,6,74,24,6,0,0,0,Ethics + Consent Anchor — per Pipeline Step,sparse
645,571,108,248,91,23,1,0,0,Table 3.173. Ethics + Consent Anchor — per Primary-Data Pipeline Stage. Each row,ok
646,572,8,97,24,11,0,0,0,Note. Tier-1 consent = participant-level informed consent (survey respondent); T,sparse
647,573,11,126,40,12,0,0,0,Per-Hypothesis Multi-Dimensional Impact Scorecard,ok
648,574,47,73,70,7,1,0,0,"Table 3.174. Per-Hypothesis Multi-Dimensional Impact Scorecard — Overall, Time,",ok
649,575,40,51,72,4,0,0,0,H3,ok
650,576,44,147,92,15,0,0,0,H5,ok
651,577,11,118,39,13,0,0,0,Score Interpretation. The scorecard reads bidirectionally:,ok
652,578,4,42,12,5,0,0,0,Problem Catalog — P1–P8 Dedicated Reference,sparse
653,579,110,247,95,22,1,0,0,"Table 3.175. Problem Catalog — 8 named problems with severity score, stakeholder",ok
654,580,3,28,9,4,0,0,0,Sub-Problem Catalog — Decomposition with Indicators + Scores,almost_empty
655,581,78,175,86,15,1,0,0,Table 3.176. Sub-Problem Decomposition Catalog — per-parent-problem breakdown,ok
656,582,10,48,23,5,0,0,0,SP8.1 P8 Confidence-tier thresholds undefined,sparse
657,583,90,237,83,21,1,0,0,Research Objective Catalog — O1–O6 with RQ / H / Outcome / Score,ok
658,584,83,270,86,24,1,0,0,Research Gap Catalog — G1–G9 with Lit Anchor + Closing H + Score,ok
659,585,83,271,93,21,1,0,0,Survey Result Catalog — per-Construct + per-Hypothesis with Real PD-1,ok
660,586,62,167,59,13,0,0,0,H2: Expl → Trust,ok
661,587,4,51,12,5,0,0,0,Value / ROI / KPI / Impact Scorecard — per-Hypothesis Business View,sparse
662,588,92,218,85,22,1,0,0,Table 3.180. Value / ROI / KPI / Impact Scorecard per Hypothesis — business case,ok
663,589,84,251,89,25,1,0,0,B2C Problem Catalog — Caregiver / Patient Perspective,ok
664,590,63,170,71,19,1,0,0,B2C Sub-Problem Catalog — Caregiver-Visible Indicators,ok
665,591,44,150,66,18,1,0,0,B2C Research Objective Catalog — Caregiver-Outcome Framing,ok
666,592,57,235,84,23,1,0,0,B2C Research Gap Catalog — Caregiver-Centric Gap View,ok
667,593,8,91,25,9,0,0,0,B2C Survey Result Catalog — Caregiver-Outcome Verdicts,sparse
668,594,60,131,79,13,1,0,0,Table 3.185. B2C Survey Result Catalog — caregiver-outcome verdicts per hypothes,ok
669,595,67,246,82,25,1,0,0,B2C Value / ROI / KPI / Impact Scorecard,ok
670,596,86,235,85,22,1,0,0,B2B Problem Catalog — Clinician / Hospital Perspective,ok
671,597,76,215,82,21,1,0,0,B2B Sub-Problem Catalog — Clinician-Operational Indicators,ok
672,598,44,214,74,22,1,0,0,B2B Research Objective Catalog — Clinician-Outcome Framing,ok
673,599,54,222,70,21,1,0,0,B2B Research Gap Catalog — Clinician/Hospital Gap View,ok
674,600,62,176,83,14,1,0,0,B2B Survey Result Catalog — Real PD-1 Clinician Verdicts,ok
675,601,57,249,86,24,1,0,0,B2B Value / ROI / KPI / Impact Scorecard,ok
676,602,34,158,62,16,1,0,0,Sample Data Page — Secondary (Illustrative 𝑛=20 EEG subjects),ok
677,603,10,103,34,10,0,0,0,Customer + SMART Analysis Flow,ok
678,604,52,206,70,19,1,0,0,Table 3.194. Customer + SMART Analysis Flow — 8-step caregiver journey paired,ok
679,605,69,274,95,25,1,0,0,Expected Outputs — Reference Page,ok
680,606,96,243,93,22,0,0,0,SD-5 XAI,ok
681,607,33,127,52,13,0,0,0,Patient consent,ok
682,608,108,295,95,23,1,0,0,Independent and Dependent Variables — Master Reference Page,ok
683,609,104,258,94,23,0,0,0,EEG familiarity,ok
684,610,10,116,34,11,0,0,0,Primary Data Analysis Plan — Cards A–E with Task List,ok
685,611,72,265,93,24,1,0,0,Table 3.197. Primary Data Analysis — five sequential cards. Method column lists ,ok
686,612,61,279,97,24,1,0,0,Card sequence rule (Primary): A → B → C → D → E. Card B gates Card C: if Cronbac,ok
687,613,1,10,1,1,0,0,0,Secondary Data Analysis Plan — Cards A–F with Task List,almost_empty
688,614,83,270,87,26,1,0,0,Complete secondary-data analysis flow as six sequential cards (SD-3 through SD-7,ok
689,615,40,147,48,13,0,0,0,E,ok
690,616,52,316,95,32,1,0,0,Public-Data Bias Handling + Explainability Safeguards (Secondary Data),ok
691,617,44,198,71,21,0,0,0,4. Recording,ok
692,618,64,280,93,28,1,0,0,Table 3.201. Five explainability mechanisms that compensate for inherited public,ok
693,619,19,199,70,22,0,0,0,Pre-registered acceptance gates.,ok
694,620,9,107,31,10,0,0,0,Hybrid Data Analysis Plan — Cards A–D with Task List,ok
695,621,69,252,88,24,1,0,0,Table 3.202. Hybrid Data Analysis — four sequential cards fusing Primary survey,ok
696,622,16,176,53,21,0,0,0,"Three-Stream Data Flow Architecture (Primary, Secondary, Hybrid)",ok
697,623,33,211,65,20,1,0,0,Table 3.203. Primary Data Flow — the five-stage journey from instrument design,ok
698,624,40,262,96,26,1,0,0,Stream 2 — Secondary Data Flow (SD-1 to SD-10). The secondary data stream reuses,ok
699,625,18,204,64,22,0,0,0,SD-10 Enterprise,ok
700,626,45,205,91,19,1,0,0,Table 3.205. Hybrid Data Flow — the six-stage integration that pairs each primar,ok
701,627,12,161,43,17,0,0,0,Note. The three streams are not independent: every Hybrid pairing (stream 3) is ,ok
702,628,90,249,92,20,1,0,0,Table 3.206. B2B & B2C Questionnaire — 26-item Likert instrument spanning 11,ok
